episode_id,family,fixture,block_id,policy_id,goal,wording,scenario,named_reference,planned,accepted_valid,missing_valid,infra_invalid,blocked,trigger_eligible,event_delivered,event_observed
online_correction_v4-C6-b000-3203ea77ae86399b,C6,containment,0,cosmos3_nano_droid,inside,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-b000-53f527666c035188,C6,containment,0,cosmos3_nano_droid,inside,inverse,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-b000-54c149fce92a6ada,C6,containment,0,cosmos3_nano_droid,inside,inverse,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-b000-72a5270017ef3a70,C6,containment,0,cosmos3_nano_droid,inside,inverse,original_sham,single,1,1,0,0,0,1,0,0
online_correction_v4-C6-b000-e50de7857279b0b3,C6,containment,0,cosmos3_nano_droid,inside,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-b000-fb4ccc7961f042b4,C6,containment,0,cosmos3_nano_droid,inside,direct,move_stop,single,1,1,0,0,0,1,1,0
online_correction_v4-C6-b001-139c9ff724dec4c2,C6,containment,1,cosmos3_nano_droid,inside,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-b001-1cb75350b11ac3f3,C6,containment,1,cosmos3_nano_droid,inside,direct,original_sham,single,1,1,0,0,0,1,0,0
online_correction_v4-C6-b001-23043d3d0417206f,C6,containment,1,cosmos3_nano_droid,inside,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-b001-5facc4f25173dea9,C6,containment,1,cosmos3_nano_droid,inside,inverse,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-b001-937cadd1e16c5563,C6,containment,1,cosmos3_nano_droid,inside,inverse,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-b001-9cfae1b5c5643fba,C6,containment,1,cosmos3_nano_droid,inside,inverse,destination_static,single,1,1,0,0,0,1,0,0
online_correction_v4-C6-b002-4865c0a5876e8c43,C6,containment,2,cosmos3_nano_droid,inside,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-b002-510e590d7c0728f1,C6,containment,2,cosmos3_nano_droid,inside,inverse,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-b002-6d0a7cfbd4a09004,C6,containment,2,cosmos3_nano_droid,inside,inverse,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-b002-a3ce7ca085acf29a,C6,containment,2,cosmos3_nano_droid,inside,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-b002-e2849f0a77f6f493,C6,containment,2,cosmos3_nano_droid,inside,inverse,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-b002-f6347caf99e13d61,C6,containment,2,cosmos3_nano_droid,inside,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-b003-0faa892936271268,C6,containment,3,cosmos3_nano_droid,inside,direct,destination_static,single,1,1,0,0,0,1,0,0
online_correction_v4-C6-b003-12c52ea9ac231514,C6,containment,3,cosmos3_nano_droid,inside,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-b003-2a85312652036738,C6,containment,3,cosmos3_nano_droid,inside,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-b003-67c1ed66cea209da,C6,containment,3,cosmos3_nano_droid,inside,inverse,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-b003-990c7ebd648d108d,C6,containment,3,cosmos3_nano_droid,inside,inverse,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-b003-b6e15415b55edb1e,C6,containment,3,cosmos3_nano_droid,inside,inverse,move_stop,single,1,1,0,0,0,0,0,0
