model_class,model,arena,evidence_kind,publication_role,path,bytes,sha256,source_manifest
VLA,π0.5 DROID — current-stack V2-A010,DROID / RoboLab,actual rollout,canonical gallery,artifacts/vla_wam_shared_v2/media/pi05_current_stack_v2a010/pi05_current_stack_v2a010_seed8300_paired_actual.mp4,2655507,1195a4f5bafc20d099644dc6c150d69113b1c88ed03d566308a7c7e7d61e294d,artifacts/vla_wam_shared_v2/media/pi05_current_stack_v2a010/media_manifest.json
WAM,Efficient-WAM-RT,RoboTwin place-A-relative-to-B,actual rollout,canonical gallery,artifacts/vla_wam_shared_v2/media/robotwin_wam_confirmation/efficient_wam_rt_pair05_left_right_both_success.mp4,183829,bbc833fc1faf84f38bd8307b8d7f6b73d0fad957ce5a822c7f07a1db6ba2e1a4,artifacts/vla_wam_shared_v2/media/robotwin_wam_confirmation/media_index.json
WAM,LingBot-VA,RoboTwin place-A-relative-to-B,actual rollout,canonical gallery,artifacts/vla_wam_shared_v2/media/robotwin_wam_confirmation/lingbot_va_pair03_left_right_normalized_full_rollouts.mp4,539046,074abb4d5ef3b39328535d6e86037c680da5afb45384884745df0624bcc09341,artifacts/vla_wam_shared_v2/media/robotwin_wam_confirmation/media_index.json
WAM,Efficient-WAM-RT,RoboTwin place-A-relative-to-B,actual rollout,canonical gallery,artifacts/vla_wam_shared_v2/media/robotwin_wam_pairs/efficient_wam_rt_pair00_left_success_right_failure.mp4,854683,bad140d1872ee904bd364c0f8c022b7e5944e3c7529d68f43b93ae72a194a7aa,artifacts/vla_wam_shared_v2/media/robotwin_wam_pairs/media_index.json
WAM,Efficient-WAM-RT,RoboTwin place-A-relative-to-B,actual rollout,alternate square encode,artifacts/vla_wam_shared_v2/media/robotwin_wam_pairs/efficient_wam_rt_pair00_left_success_right_failure_1200x1200.mp4,650591,e993d6999b8f63f63b5860fdb0a4c0e6382cc8b614f8e5db0846edd659216b89,
WAM,FastWAM,RoboTwin place-A-relative-to-B,actual rollout,canonical gallery,artifacts/vla_wam_shared_v2/media/robotwin_wam_pairs/fastwam_pair02_left_success_right_failure.mp4,4400504,7a152b61292fdfe9d341950d4448dce4c8c5d4b797aa073b246bafafbaaae4f2,artifacts/vla_wam_shared_v2/media/robotwin_wam_pairs/media_index.json
WAM,FastWAM,RoboTwin place-A-relative-to-B,actual rollout,alternate square encode,artifacts/vla_wam_shared_v2/media/robotwin_wam_pairs/fastwam_pair02_left_success_right_failure_1200x1200.mp4,3121167,1140ee60cea2b60c7bac244fe715b837874e315bcd7cdcab7dab0343618a38a3,
WAM,FastWAM,RoboTwin place-A-relative-to-B,actual rollout,reconstruction component,artifacts/vla_wam_shared_v2/media/robotwin_wam_pairs/fastwam_pair02_left_success_right_failure_left_reconstructed_head.mp4,423336,6ab636ebf99c61221052982031ceedc83efc9a9bdc89b3df0a633f2bf59b2f15,
WAM,FastWAM,RoboTwin place-A-relative-to-B,actual rollout,reconstruction component,artifacts/vla_wam_shared_v2/media/robotwin_wam_pairs/fastwam_pair02_left_success_right_failure_right_reconstructed_head.mp4,1223296,b756bada8a6ba7cd9056048feeef72af6af8a585096599bd8053a41e5a2c56b8,
WAM,LingBot-VA,RoboTwin place-A-relative-to-B,actual rollout,canonical gallery,artifacts/vla_wam_shared_v2/media/robotwin_wam_pairs/lingbot_va_pair00_left_success_right_failure.mp4,2822783,d7f5addbfbf0074a2e116d197b12b679e5489e81dd0120334221347c406c8a0b,artifacts/vla_wam_shared_v2/media/robotwin_wam_pairs/media_index.json
WAM,LingBot-VA,RoboTwin place-A-relative-to-B,actual rollout,alternate square encode,artifacts/vla_wam_shared_v2/media/robotwin_wam_pairs/lingbot_va_pair00_left_success_right_failure_1200x1200.mp4,1952844,1d8bc1eea79cd7a274fed1dd8338f51f5b8d1d9b5ac75fdc3a9f9fdb18021064,
VLA,LingBot-VLA 4B,RoboTwin place-A-relative-to-B,actual rollout,canonical gallery,artifacts/vla_wam_shared_v2/pilot/expansion/media/lingbot_vla_4b_pair00_matched.mp4,105124,6fdf9383bcee0abf5cd6910afd477b3aa6bd69a0fd36ee4b8ab3eaf059b697ae,artifacts/vla_wam_shared_v2/pilot/expansion/lingbot_vla_4b_direct_gate.json
