metric,value
campaign_export_status,partial
original_planned_policy_episodes,17664
achievable_policy_episodes,2304
scientifically_blocked_episodes,15360
pre_repair_c7_excluded_episodes,279
c7_coverage_label,279/768 (36.3%)
c7_accepted_valid_unique,279
c7_valid_success_records,0
c7_valid_failure_records,279
criteria_amended,False
