episode_id,family,policy_id,block_id,accepted_valid,t_event_planned_s,t_motion_actual_onset_s,motion_fraction_observed,commanded_peak_speed_m_s,achieved_peak_speed_m_s,observation_delay_s,inference_dispatch_delay_s,queue_execution_delay_s,physical_response_delay_s,inference_wall_time_s
online_correction_v4-C8-b005-ebdb3ef349bae6db,C8,groot_bridge_widowx,5,1,,,,,,,,,,
online_correction_v4-C8-b012-04d926c8f4707973,C8,groot_bridge_widowx,12,1,,,,,,,,,,
online_correction_v4-C8-b013-0a4f8fbbc3a8e6ab,C8,groot_bridge_widowx,13,1,,,,,,,,,,
online_correction_v4-C8-b023-d981b7ab74c7aeec,C8,groot_bridge_widowx,23,1,,,,,,,,,,
online_correction_v4-C8-b050-c73643a24a57efa9,C8,groot_bridge_widowx,50,1,,,,,,,,,,
online_correction_v4-C8-b058-682b9fc5dab4468e,C8,groot_bridge_widowx,58,1,,,,,,,,,,
