comparison,action_checkpoint,layout,expected_pairs,eligible_pairs,missing_pairs,eligible_seeds,missing_seeds,ordered_pairs,reversed_pairs,ties,ordered_fraction_observed,ordered_fraction_full_cohort_bounds,common_action_step_n,common_action_step_mean,common_action_step_median,common_action_step_min,common_action_step_max,left_eligible_episodes,right_eligible_episodes,left_episode_reasons,right_episode_reasons,pair_reasons,offset_separation_m_n,offset_separation_m_mean,offset_separation_m_median,offset_separation_m_min,offset_separation_m_max,cube_y_separation_m_n,cube_y_separation_m_mean,cube_y_separation_m_median,cube_y_separation_m_min,cube_y_separation_m_max,bowl_y_separation_m_n,bowl_y_separation_m_mean,bowl_y_separation_m_median,bowl_y_separation_m_min,bowl_y_separation_m_max,offset_change_separation_m_n,offset_change_separation_m_mean,offset_change_separation_m_median,offset_change_separation_m_min,offset_change_separation_m_max,cube_y_change_separation_m_n,cube_y_change_separation_m_mean,cube_y_change_separation_m_median,cube_y_change_separation_m_min,cube_y_change_separation_m_max,bowl_y_change_separation_m_n,bowl_y_change_separation_m_mean,bowl_y_change_separation_m_median,bowl_y_change_separation_m_min,bowl_y_change_separation_m_max,left_offset_m_n,left_offset_m_mean,left_offset_m_median,left_offset_m_min,left_offset_m_max,left_cube_displacement_m_n,left_cube_displacement_m_mean,left_cube_displacement_m_median,left_cube_displacement_m_min,left_cube_displacement_m_max,left_bowl_displacement_m_n,left_bowl_displacement_m_mean,left_bowl_displacement_m_median,left_bowl_displacement_m_min,left_bowl_displacement_m_max,left_cube_y_displacement_m_n,left_cube_y_displacement_m_mean,left_cube_y_displacement_m_median,left_cube_y_displacement_m_min,left_cube_y_displacement_m_max,left_bowl_y_displacement_m_n,left_bowl_y_displacement_m_mean,left_bowl_y_displacement_m_median,left_bowl_y_displacement_m_min,left_bowl_y_displacement_m_max,right_offset_m_n,right_offset_m_mean,right_offset_m_median,right_offset_m_min,right_offset_m_max,right_cube_displacement_m_n,right_cube_displacement_m_mean,right_cube_displacement_m_median,right_cube_displacement_m_min,right_cube_displacement_m_max,right_bowl_displacement_m_n,right_bowl_displacement_m_mean,right_bowl_displacement_m_median,right_bowl_displacement_m_min,right_bowl_displacement_m_max,right_cube_y_displacement_m_n,right_cube_y_displacement_m_mean,right_cube_y_displacement_m_median,right_cube_y_displacement_m_min,right_cube_y_displacement_m_max,right_bowl_y_displacement_m_n,right_bowl_y_displacement_m_mean,right_bowl_y_displacement_m_median,right_bowl_y_displacement_m_min,right_bowl_y_displacement_m_max
pretermination_latest_common,,control,27,27,0,"[9400, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 9415, 9416, 9417, 9418, 9419, 9420, 9421, 9422, 9423, 9424, 9425, 9426]",[],27,0,0,1.0,"[1.0, 1.0]",27,149.7037037037037,133,89,290,27,27,{},{},{},27,0.3110371443822428,0.307388573884964,0.07832422852516174,0.5597292929887772,27,0.3112061367956577,0.3073887377977371,0.07808876037597656,0.5597292631864548,27,0.00016899241341484917,0.0,-0.00023546814918518066,0.004921361804008484,27,0.3110371443822428,0.307388573884964,0.07832422852516174,0.5597292929887772,27,0.3112061367956577,0.3073887377977371,0.07808876037597656,0.5597292631864548,27,0.00016899241341484917,0.0,-0.00023546814918518066,0.004921361804008484,27,0.11212494141525692,0.11512008309364319,-0.0010578930377960205,0.18924802541732788,27,0.14990835099946734,0.1672652225531039,0.007918807680885882,0.33425425704609424,27,0.0002046997572572578,1.999200562387517e-07,1.0745380149674383e-07,0.005007895028114765,27,0.11762179130757297,0.12044330686330795,0.004265300929546356,0.19457120448350906,27,0.00017356651800650138,-8.940696716308594e-08,-0.00012686848640441895,0.0049211978912353516,27,-0.1989122029669859,-0.20232778787612915,-0.4853619486093521,0.025409862399101257,27,0.23166240207704206,0.2965109899394615,0.011044425248553043,0.551759279196686,27,3.3235812587542836e-05,2.3144818197204272e-07,4.998001405968792e-08,0.000829398015261463,27,-0.19358434548808467,-0.1970047429203987,-0.4800387844443321,0.03071960061788559,27,4.5741045916521995e-06,-7.450580596923828e-08,-1.354515552520752e-05,0.00010859966278076172
pretermination_latest_common,,position_mirrored,27,27,0,"[9400, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 9415, 9416, 9417, 9418, 9419, 9420, 9421, 9422, 9423, 9424, 9425, 9426]",[],27,0,0,1.0,"[1.0, 1.0]",27,149.37037037037038,149,96,320,27,27,{},{},{},27,0.35844855979774837,0.35379908233880997,0.11178560741245747,0.7379241287708282,27,0.3586486062310912,0.3522609546780586,0.11178556270897388,0.7379238605499268,27,0.0002000464333428277,-2.9802322387695312e-08,-0.0015381276607513428,0.004314512014389038,27,0.35844855979774837,0.35379908233880997,0.11178560741245747,0.7379241287708282,27,0.3586486062310912,0.3522609546780586,0.11178556270897388,0.7379238605499268,27,0.0002000464333428277,-2.9802322387695312e-08,-0.0015381276607513428,0.004314512014389038,27,0.2550918093227126,0.24473672360181808,0.06433853507041931,0.5359688401222229,27,0.2921653163718893,0.2716295002744403,0.06758196892008074,0.5456358850443922,27,1.6130114826918288e-05,2.356080457693621e-07,3.650024149988857e-08,0.00042032546074021913,27,0.2527451785971169,0.2423854023218155,0.061987169086933136,0.5336173996329308,27,4.64585092332628e-06,0.0,-1.9371509552001953e-07,0.00012610852718353271,27,-0.10335675047503577,-0.10022211074829102,-0.25494909286499023,0.018548734486103058,27,0.15446158465822007,0.1690315062622788,0.0012435950686288733,0.2897558464135042,27,0.0007587210814625766,2.407356265396403e-07,3.332000937312528e-08,0.008012269519825428,27,-0.10590342763397428,-0.10257334262132645,-0.25730035454034805,0.013761073350906372,27,-0.00019540058241950141,1.4901161193847656e-08,-0.004314586520195007,0.0015379339456558228
terminal_endpoints,,control,27,27,0,"[9400, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 9415, 9416, 9417, 9418, 9419, 9420, 9421, 9422, 9423, 9424, 9425, 9426]",[],27,0,0,1.0,"[1.0, 1.0]",0,,,,,27,27,{},{},{},27,0.4480567460672723,0.4667481780052185,0.22610923647880554,0.6560731381177902,27,0.44834476592088185,0.4667481333017349,0.22610919177532196,0.6560731828212738,27,0.0002880198536095796,2.9802322387695312e-08,-0.0008355379104614258,0.0049223750829696655,27,0.4480567460672723,0.4667481780052185,0.22610923647880554,0.6560731381177902,27,0.44834476592088185,0.4667481333017349,0.22610919177532196,0.6560731828212738,27,0.0002880198536095796,2.9802322387695312e-08,-0.0008355379104614258,0.0049223750829696655,27,0.15019709092599373,0.1527162343263626,0.07062351703643799,0.24428707361221313,27,0.19486458437621038,0.20018720291654402,0.10604526390746224,0.2921133658359992,27,0.0002926049085729614,3.1150199413846245e-07,8.688795409866125e-08,0.005009125792777855,27,0.1556988157055996,0.1579125002026558,0.07594675570726395,0.24994514137506485,27,0.00017844140529632568,-7.450580596923828e-08,-0.0008354634046554565,0.00492231547832489,27,-0.29785965514127855,-0.3055855333805084,-0.5049089789390564,-0.09717809222638607,27,0.32408736068160543,0.34126710220938433,0.10104592210931046,0.5520044675114234,27,0.00012719621983826719,2.0928042985779254e-07,6.143906154658885e-08,0.0023417278605950276,27,-0.2926459502152823,-0.30026230961084366,-0.49958571046590805,-0.09203938953578472,27,-0.0001095784483132539,-5.960464477539063e-08,-0.001963786780834198,2.0205974578857422e-05
terminal_endpoints,,position_mirrored,27,27,0,"[9400, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 9415, 9416, 9417, 9418, 9419, 9420, 9421, 9422, 9423, 9424, 9425, 9426]",[],27,0,0,1.0,"[1.0, 1.0]",0,,,,,27,27,{},{},{},27,0.45273699628672115,0.4373619556427002,0.2571224980056286,0.7600308060646057,27,0.4562326839745597,0.43736185133457184,0.2571226768195629,0.7600303292274475,27,0.003495687687838519,-4.470348358154297e-08,-0.0016389116644859314,0.09085671603679657,27,0.45273699628672115,0.4373619556427002,0.2571224980056286,0.7600308060646057,27,0.4562326839745597,0.43736185133457184,0.2571226768195629,0.7600303292274475,27,0.003495687687838519,-4.470348358154297e-08,-0.0016389116644859314,0.09085671603679657,27,0.2763708127938487,0.2752882242202759,0.08784402906894684,0.5576777160167694,27,0.30724818233990536,0.2929266398164901,0.12877591200052665,0.5600136886789345,27,1.6151515693545787e-05,3.003425057343598e-07,0.0,0.00042020270628553066,27,0.27402421131868054,0.27293702214956284,0.0854928269982338,0.5553259775042534,27,4.675101350854945e-06,0.0,-4.6193599700927734e-07,0.00012607872486114502,27,-0.17636618349287245,-0.2023530900478363,-0.2695033848285675,-0.0169965922832489,27,0.20092958367127417,0.2205996416803343,0.042183360242192915,0.27254576225698285,27,0.005310876022894479,5.574010346611764e-07,6.322027276634104e-08,0.12056747567348802,27,-0.18220847265587914,-0.20470435172319412,-0.2718546763062477,-0.03964897245168686,27,-0.003491012586487664,1.4901161193847656e-08,-0.09085641801357269,0.0016388222575187683
fixed_action_checkpoints,0,control,27,27,0,"[9400, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 9415, 9416, 9417, 9418, 9419, 9420, 9421, 9422, 9423, 9424, 9425, 9426]",[],0,0,27,0.0,"[0.0, 0.0]",27,0,0,0,0,27,27,{},{},{},27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,-0.00532328337430954,-0.00532328337430954,-0.00532328337430954,-0.00532328337430954,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,-0.00532328337430954,-0.00532328337430954,-0.00532328337430954,-0.00532328337430954,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0
fixed_action_checkpoints,0,position_mirrored,27,27,0,"[9400, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 9415, 9416, 9417, 9418, 9419, 9420, 9421, 9422, 9423, 9424, 9425, 9426]",[],0,0,27,0.0,"[0.0, 0.0]",27,0,0,0,0,27,27,{},{},{},27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0023512765765190125,0.0023512765765190125,0.0023512765765190125,0.0023512765765190125,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0023512765765190125,0.0023512765765190125,0.0023512765765190125,0.0023512765765190125,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0
fixed_action_checkpoints,32,control,27,27,0,"[9400, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 9415, 9416, 9417, 9418, 9419, 9420, 9421, 9422, 9423, 9424, 9425, 9426]",[],0,0,27,0.0,"[0.0, 0.0]",27,32,32,32,32,27,27,{},{},{},27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,-0.005323261022567749,-0.005323261022567749,-0.005323261022567749,-0.005323261022567749,27,2.130918152045472e-07,2.130918152045472e-07,2.130918152045472e-07,2.130918152045472e-07,27,1.3075715880680267e-07,1.3075715880680267e-07,1.3075715880680267e-07,1.3075715880680267e-07,27,-2.2351741790771484e-08,-2.2351741790771484e-08,-2.2351741790771484e-08,-2.2351741790771484e-08,27,-4.470348358154297e-08,-4.470348358154297e-08,-4.470348358154297e-08,-4.470348358154297e-08,27,-0.005323261022567749,-0.005323261022567749,-0.005323261022567749,-0.005323261022567749,27,2.130918152045472e-07,2.130918152045472e-07,2.130918152045472e-07,2.130918152045472e-07,27,1.3075715880680267e-07,1.3075715880680267e-07,1.3075715880680267e-07,1.3075715880680267e-07,27,-2.2351741790771484e-08,-2.2351741790771484e-08,-2.2351741790771484e-08,-2.2351741790771484e-08,27,-4.470348358154297e-08,-4.470348358154297e-08,-4.470348358154297e-08,-4.470348358154297e-08
fixed_action_checkpoints,32,position_mirrored,27,27,0,"[9400, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 9415, 9416, 9417, 9418, 9419, 9420, 9421, 9422, 9423, 9424, 9425, 9426]",[],0,0,27,0.0,"[0.0, 0.0]",27,32,32,32,32,27,27,{},{},{},27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,27,0.0023521631956100464,0.0023521631956100464,0.0023521631956100464,0.0023521631956100464,27,1.2726760666507565e-06,1.2726760666507565e-06,1.2726760666507565e-06,1.2726760666507565e-06,27,3.872152108009542e-07,3.872152108009542e-07,3.872152108009542e-07,3.872152108009542e-07,27,1.1101365089416504e-06,1.1101365089416504e-06,1.1101365089416504e-06,1.1101365089416504e-06,27,2.2351741790771484e-07,2.2351741790771484e-07,2.2351741790771484e-07,2.2351741790771484e-07,27,0.0023521631956100464,0.0023521631956100464,0.0023521631956100464,0.0023521631956100464,27,1.2726760666507565e-06,1.2726760666507565e-06,1.2726760666507565e-06,1.2726760666507565e-06,27,3.872152108009542e-07,3.872152108009542e-07,3.872152108009542e-07,3.872152108009542e-07,27,1.1101365089416504e-06,1.1101365089416504e-06,1.1101365089416504e-06,1.1101365089416504e-06,27,2.2351741790771484e-07,2.2351741790771484e-07,2.2351741790771484e-07,2.2351741790771484e-07
fixed_action_checkpoints,64,control,27,27,0,"[9400, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 9415, 9416, 9417, 9418, 9419, 9420, 9421, 9422, 9423, 9424, 9425, 9426]",[],2,6,19,0.07407407407407407,"[0.07407407407407407, 0.07407407407407407]",27,64,64,64,64,27,27,{},{},{},27,-2.3579707852116336e-06,0.0,-0.003164634108543396,0.0033675730228424072,27,-2.3027812993084943e-06,0.0,-0.0031647086143493652,0.0033678412437438965,27,5.518948590313947e-08,0.0,-1.9371509552001953e-07,7.748603820800781e-07,27,-2.3579707852116336e-06,0.0,-0.003164634108543396,0.0033675730228424072,27,-2.3027812993084943e-06,0.0,-0.0031647086143493652,0.0033678412437438965,27,5.518948590313947e-08,0.0,-1.9371509552001953e-07,7.748603820800781e-07,27,-0.005061870647801293,-0.005323082208633423,-0.005397714674472809,-0.0014943927526474,27,0.00041893559857295493,1.3560261371136677e-06,1.6809276003656503e-07,0.005949957815336239,27,2.032345491054865e-07,1.562846970811712e-07,1.0950072449966572e-07,9.811314251929973e-07,27,0.0002613961696624756,1.2665987014770508e-07,-7.443130016326904e-05,0.0038295313715934753,27,-1.655684577094184e-08,-7.450580596923828e-08,-7.450580596923828e-08,6.407499313354492e-07,27,-0.005059512677016082,-0.005323082208633423,-0.005323082208633423,-0.002062171697616577,27,0.0009789772830445704,1.3560261371136677e-06,1.3560261371136677e-06,0.011732143426883664,27,1.8106903503724826e-07,1.562846970811712e-07,1.3738191809196602e-07,5.786564302130818e-07,27,0.00026369895096178407,1.2665987014770508e-07,1.2665987014770508e-07,0.003260977566242218,27,-7.174633167408131e-08,-7.450580596923828e-08,-1.6391277313232422e-07,1.1920928955078125e-07
fixed_action_checkpoints,64,position_mirrored,27,27,0,"[9400, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 9415, 9416, 9417, 9418, 9419, 9420, 9421, 9422, 9423, 9424, 9425, 9426]",[],3,8,16,0.1111111111111111,"[0.1111111111111111, 0.1111111111111111]",27,64,64,64,64,27,27,{},{},{},27,-3.7260077617786546e-05,0.0,-0.00313403457403183,0.006687261164188385,27,-3.7246832141169796e-05,0.0,-0.003134019672870636,0.00668720155954361,27,1.3245476616753471e-08,0.0,-1.043081283569336e-07,2.384185791015625e-07,27,-3.7260077617786546e-05,0.0,-0.00313403457403183,0.006687261164188385,27,-3.7246832141169796e-05,0.0,-0.003134019672870636,0.00668720155954361,27,1.3245476616753471e-08,0.0,-1.043081283569336e-07,2.384185791015625e-07,27,0.002343630349194562,0.002351522445678711,-0.0012328177690505981,0.008306987583637238,27,0.0009878440192841898,1.7106182584096678e-06,1.7106182584096678e-06,0.01209559251287007,27,1.5875684093567606e-07,1.0023731028343521e-07,6.188917057900187e-08,9.5730538266367e-07,27,-7.68320428000556e-06,2.0116567611694336e-07,-0.0035840794444084167,0.005955532193183899,27,-3.697695555510344e-08,-4.470348358154297e-08,-1.7881393432617188e-07,1.4901161193847656e-07,27,0.0023808904268123486,0.002351522445678711,0.0016197264194488525,0.004789367318153381,27,0.0004646220185251694,1.7106182584096678e-06,1.7106182584096678e-06,0.007687821446369915,27,1.2267489088922408e-07,1.0023731028343521e-07,2.9802322387695312e-08,3.2655309141890894e-07,27,2.9563627861164235e-05,2.0116567611694336e-07,-0.0007316693663597107,0.0024381503462791443,27,-5.0222432171856914e-08,-4.470348358154297e-08,-2.682209014892578e-07,5.960464477539063e-08
