level,origin,intent_groups,surfaces_per_group,train_surfaces_per_group,heldout_surfaces_per_group,canonical_token_length_mean,canonical_token_length_p10,canonical_token_length_median,canonical_token_length_p90,surface_token_length_mean,surface_token_length_p10,surface_token_length_median,surface_token_length_p90,mean_paraphrase_token_delta,mean_pairwise_jaccard_distance,within_group_normalized_duplicate_rate,semantic_equivalence_pass_rate,embedding_cosine_distance
task,generated_verbatim_wrapper_provisional,704,7,4,2,10.419034090909092,7.0,10.0,14.0,13.561891233766234,10.0,13.0,18.0,3.6666666666666665,0.3349500071341545,0.0,pending_human_review,not_computed_pending_verified_surfaces
subtask,generated_verbatim_wrapper_provisional,3674,7,4,2,5.280348394120849,3.0,5.0,8.0,8.423205536977992,5.0,8.0,12.0,3.6666666666666665,0.46818065626751976,0.0,pending_human_review,not_computed_pending_verified_surfaces
