normalization,one_to_one_pairs,same_raw_index_pairs,task_identity_warning
raw_exact_strip,18272,417,
nfkc_case_whitespace,17884,408,
nfkc_case_ascii_alphanumeric,17601,403,
ascii_alphanumeric_remove_articles,16952,393,stopword deletion is diagnostic only and is not allowed in the selected join
ascii_alphanumeric_remove_articles_robot,16946,393,stopword deletion is diagnostic only and is not allowed in the selected join
