cross_camera_threshold_m,chunks,certain_chunks,coverage_fraction,imagination_execution_agreement_among_certain,executed_requested_count_all,executed_requested_count_among_certain,executed_positive_future_coverage_fraction
0.1,752,41,0.05452127659574468,0.975609756097561,97,1,0.010309278350515464
0.15,752,262,0.3484042553191489,0.9923664122137404,97,10,0.10309278350515463
0.2,752,421,0.5598404255319149,0.9809976247030879,97,25,0.25773195876288657
