wording,direction,chunks,episodes,certain_chunks,coverage_fraction,imagined_requested_rate_among_certain,executed_requested_rate_among_certain,imagination_execution_agreement_among_certain,quadrant_counts
canonical,left,99,10,51,0.5151515151515151,0.058823529411764705,0.0196078431372549,0.9607843137254902,"{""imagines_requested_executes_not_requested"": 2, ""imagines_requested_executes_requested"": 1, ""neither_imagines_nor_executes_requested"": 48, ""uncertain_future"": 48}"
canonical,right,86,10,54,0.627906976744186,0.12962962962962962,0.1111111111111111,0.9814814814814815,"{""imagines_requested_executes_not_requested"": 1, ""imagines_requested_executes_requested"": 6, ""neither_imagines_nor_executes_requested"": 47, ""uncertain_future"": 32}"
short_paraphrase,left,125,10,71,0.568,0.014084507042253521,0.028169014084507043,0.9859154929577465,"{""does_not_imagine_requested_executes_requested"": 1, ""imagines_requested_executes_requested"": 1, ""neither_imagines_nor_executes_requested"": 69, ""uncertain_future"": 54}"
short_paraphrase,right,64,10,31,0.484375,0.22580645161290322,0.1935483870967742,0.9032258064516129,"{""does_not_imagine_requested_executes_requested"": 1, ""imagines_requested_executes_not_requested"": 2, ""imagines_requested_executes_requested"": 5, ""neither_imagines_nor_executes_requested"": 23, ""uncertain_future"": 33}"
declarative_goal,left,66,10,34,0.5151515151515151,0.029411764705882353,0.058823529411764705,0.9705882352941176,"{""does_not_imagine_requested_executes_requested"": 1, ""imagines_requested_executes_requested"": 1, ""neither_imagines_nor_executes_requested"": 32, ""uncertain_future"": 32}"
declarative_goal,right,87,10,47,0.5402298850574713,0.0851063829787234,0.0851063829787234,1.0,"{""imagines_requested_executes_requested"": 4, ""neither_imagines_nor_executes_requested"": 43, ""uncertain_future"": 40}"
contrastive_goal,left,146,10,89,0.6095890410958904,0.0,0.0,1.0,"{""neither_imagines_nor_executes_requested"": 89, ""uncertain_future"": 57}"
contrastive_goal,right,79,10,44,0.5569620253164557,0.09090909090909091,0.09090909090909091,1.0,"{""imagines_requested_executes_requested"": 4, ""neither_imagines_nor_executes_requested"": 40, ""uncertain_future"": 35}"
