comparison,condition_id,direction,left_episode_index,right_episode_index,mae_0_255,nonidentical_channel_fraction,p99_abs_difference,max_abs_difference
within_condition_direction,cosmos_canonical_static32,right,1,3,4.087659143518518,0.7287548225308642,24.0,78
within_condition_direction,cosmos_canonical_static32,right,1,4,3.732512538580247,0.7267235725308642,22.0,73
within_condition_direction,cosmos_canonical_static32,right,1,5,3.868160686728395,0.7230189043209877,25.0,86
within_condition_direction,cosmos_canonical_static32,right,1,6,3.952403549382716,0.7328260030864198,28.0,114
within_condition_direction,cosmos_canonical_static32,right,1,7,3.7989756944444446,0.7269077932098765,25.0,82
within_condition_direction,cosmos_canonical_static32,right,1,8,3.9273505015432097,0.715625,25.0,69
within_condition_direction,cosmos_canonical_static32,right,1,9,3.910683834876543,0.7275588348765432,24.0,91
within_condition_direction,cosmos_canonical_static32,right,2,3,2.7469068287037035,0.7001195987654321,19.0,96
within_condition_direction,cosmos_canonical_static32,right,2,4,3.0231105324074075,0.7102179783950617,19.0,105
within_condition_direction,cosmos_canonical_static32,right,2,5,2.9260908564814816,0.7052671682098766,20.0,91
within_condition_direction,cosmos_canonical_static32,right,2,6,3.6279128086419754,0.7230623070987654,23.0,115
within_condition_direction,cosmos_canonical_static32,right,2,7,3.2848051697530862,0.7127391975308642,20.0,78
within_condition_direction,cosmos_canonical_static32,right,2,8,2.8464689429012346,0.704429012345679,20.0,94
within_condition_direction,cosmos_canonical_static32,right,2,9,2.8702961033950616,0.7034307484567901,19.0,102
within_condition_direction,cosmos_canonical_static32,right,3,4,3.080185185185185,0.7060686728395061,19.0,90
within_condition_direction,cosmos_canonical_static32,right,3,5,2.989261188271605,0.7044319058641976,20.0,119
within_condition_direction,cosmos_canonical_static32,right,3,6,3.6518836805555557,0.7203954475308642,23.0,116
within_condition_direction,cosmos_canonical_static32,right,3,7,3.1702613811728395,0.7044425154320988,19.0,71
within_condition_direction,cosmos_canonical_static32,right,3,8,2.8529552469135804,0.7056037808641975,20.0,88
within_condition_direction,cosmos_canonical_static32,right,3,9,2.82875,0.6981770833333333,18.0,85
within_condition_direction,cosmos_canonical_static32,right,4,5,2.8904012345679013,0.700113811728395,20.0,93
within_condition_direction,cosmos_canonical_static32,right,4,6,3.3452420910493825,0.7217418981481482,21.0,114
within_condition_direction,cosmos_canonical_static32,right,4,7,3.062300347222222,0.7087461419753086,18.0,84
within_condition_direction,cosmos_canonical_static32,right,4,8,3.017650462962963,0.7061641589506172,21.0,78
within_condition_direction,cosmos_canonical_static32,right,4,9,2.899182098765432,0.7043682484567901,19.0,84
within_condition_direction,cosmos_canonical_static32,right,5,6,3.450703125,0.7196643518518518,22.0,115
within_condition_direction,cosmos_canonical_static32,right,5,7,3.214950810185185,0.7131259645061728,20.0,84
within_condition_direction,cosmos_canonical_static32,right,5,8,2.81336612654321,0.6983584104938272,20.0,76
within_condition_direction,cosmos_canonical_static32,right,5,9,2.8264255401234566,0.6989265046296296,20.0,85
within_condition_direction,cosmos_canonical_static32,right,6,7,3.4845891203703703,0.7215364583333334,22.0,115
within_condition_direction,cosmos_canonical_static32,right,6,8,3.59877025462963,0.7253655478395061,24.0,116
within_condition_direction,cosmos_canonical_static32,right,6,9,3.473569637345679,0.7209944058641975,24.0,114
within_condition_direction,cosmos_canonical_static32,right,7,8,3.2478694058641975,0.7113069058641975,20.0,84
within_condition_direction,cosmos_canonical_static32,right,7,9,3.191123649691358,0.7039891975308642,20.0,95
within_condition_direction,cosmos_canonical_static32,right,8,9,2.815727237654321,0.7010850694444445,21.0,90
matched_left_right,cosmos_canonical_static32,left_vs_right,0,0,1.7047096836419753,0.6452864583333333,13.0,43
matched_left_right,cosmos_canonical_static32,left_vs_right,1,1,3.701353202160494,0.7269569830246914,24.0,99
matched_left_right,cosmos_canonical_static32,left_vs_right,2,2,3.4851118827160494,0.7321209490740741,20.0,92
matched_left_right,cosmos_canonical_static32,left_vs_right,3,3,3.6631577932098764,0.727842399691358,20.0,101
matched_left_right,cosmos_canonical_static32,left_vs_right,4,4,3.9724324845679013,0.7330999228395062,25.0,95
matched_left_right,cosmos_canonical_static32,left_vs_right,5,5,3.531772762345679,0.7279272762345679,21.0,93
matched_left_right,cosmos_canonical_static32,left_vs_right,6,6,3.79710262345679,0.7263175154320988,24.0,93
matched_left_right,cosmos_canonical_static32,left_vs_right,7,7,3.2131105324074074,0.7207002314814814,21.0,82
matched_left_right,cosmos_canonical_static32,left_vs_right,8,8,3.16908275462963,0.7187673611111111,22.0,104
matched_left_right,cosmos_canonical_static32,left_vs_right,9,9,3.7630931712962963,0.7389448302469136,26.0,89
within_condition_direction,cosmos_short_static32,left,0,1,3.3329050925925925,0.7352970679012346,21.0,88
within_condition_direction,cosmos_short_static32,left,0,2,3.289663387345679,0.7354272762345679,21.0,69
within_condition_direction,cosmos_short_static32,left,0,3,3.4214621913580245,0.741983024691358,22.0,76
within_condition_direction,cosmos_short_static32,left,0,4,3.4527488425925927,0.7404349922839506,23.0,112
within_condition_direction,cosmos_short_static32,left,0,5,3.334926697530864,0.7361410108024692,21.0,83
within_condition_direction,cosmos_short_static32,left,0,6,3.4936979166666666,0.7419357638888889,23.0,80
within_condition_direction,cosmos_short_static32,left,0,7,3.5161747685185185,0.7413117283950618,23.0,78
within_condition_direction,cosmos_short_static32,left,0,8,3.577181712962963,0.7411699459876543,20.0,104
within_condition_direction,cosmos_short_static32,left,0,9,3.238617862654321,0.7426977237654321,20.0,77
within_condition_direction,cosmos_short_static32,left,1,2,3.317103587962963,0.7089293981481481,24.0,81
within_condition_direction,cosmos_short_static32,left,1,3,3.1338117283950617,0.7195756172839506,20.0,100
within_condition_direction,cosmos_short_static32,left,1,4,3.0619733796296296,0.7100385802469136,20.0,106
within_condition_direction,cosmos_short_static32,left,1,5,3.193622685185185,0.7170929783950617,20.0,92
within_condition_direction,cosmos_short_static32,left,1,6,3.2033082561728397,0.7158757716049383,21.0,114
within_condition_direction,cosmos_short_static32,left,1,7,3.3100270061728394,0.7161082175925926,20.0,88
within_condition_direction,cosmos_short_static32,left,1,8,3.2920756172839507,0.7039216820987654,21.0,107
within_condition_direction,cosmos_short_static32,left,1,9,3.1185021219135804,0.7228877314814814,20.0,89
within_condition_direction,cosmos_short_static32,left,2,3,3.107682291666667,0.7114592978395061,23.0,81
within_condition_direction,cosmos_short_static32,left,2,4,3.387225115740741,0.7100761959876544,27.0,130
within_condition_direction,cosmos_short_static32,left,2,5,3.527753665123457,0.7221373456790123,24.0,79
within_condition_direction,cosmos_short_static32,left,2,6,3.2796653163580247,0.7136005015432099,25.0,87
within_condition_direction,cosmos_short_static32,left,2,7,3.4924623842592593,0.718070987654321,24.0,83
within_condition_direction,cosmos_short_static32,left,2,8,3.4909268904320987,0.7094704861111111,24.0,105
within_condition_direction,cosmos_short_static32,left,2,9,3.150287422839506,0.7201736111111111,22.0,78
within_condition_direction,cosmos_short_static32,left,3,4,3.352422839506173,0.7184336419753087,22.0,93
within_condition_direction,cosmos_short_static32,left,3,5,3.439974922839506,0.7253279320987654,22.0,102
within_condition_direction,cosmos_short_static32,left,3,6,3.2000983796296296,0.7134905478395062,22.0,96
within_condition_direction,cosmos_short_static32,left,3,7,3.5841512345679014,0.7255150462962963,23.0,97
within_condition_direction,cosmos_short_static32,left,3,8,3.346118827160494,0.7200752314814814,21.0,109
