comparison,label,left_seed,right_seed,cube_centroid_distance_m,bowl_centroid_distance_m,max_object_centroid_distance_m
within_condition_direction,cosmos_canonical_static32:right,6100,6109,0.003497692573704688,0.000244140625,0.003497692573704688
within_condition_direction,cosmos_canonical_static32:right,6101,6102,0.0,0.0,0.0
within_condition_direction,cosmos_canonical_static32:right,6101,6103,0.0001220703125,0.0001220703125,0.0001220703125
within_condition_direction,cosmos_canonical_static32:right,6101,6104,0.0,0.00034526698300124393,0.00034526698300124393
within_condition_direction,cosmos_canonical_static32:right,6101,6105,0.0,0.0002729575167846423,0.0002729575167846423
within_condition_direction,cosmos_canonical_static32:right,6101,6106,0.0,0.000244140625,0.000244140625
within_condition_direction,cosmos_canonical_static32:right,6101,6107,0.0,0.000244140625,0.000244140625
within_condition_direction,cosmos_canonical_static32:right,6101,6108,0.0,0.000244140625,0.000244140625
within_condition_direction,cosmos_canonical_static32:right,6101,6109,0.0,0.000244140625,0.000244140625
within_condition_direction,cosmos_canonical_static32:right,6102,6103,0.0001220703125,0.0001220703125,0.0001220703125
within_condition_direction,cosmos_canonical_static32:right,6102,6104,0.0,0.00034526698300124393,0.00034526698300124393
within_condition_direction,cosmos_canonical_static32:right,6102,6105,0.0,0.0002729575167846423,0.0002729575167846423
within_condition_direction,cosmos_canonical_static32:right,6102,6106,0.0,0.000244140625,0.000244140625
within_condition_direction,cosmos_canonical_static32:right,6102,6107,0.0,0.000244140625,0.000244140625
within_condition_direction,cosmos_canonical_static32:right,6102,6108,0.0,0.000244140625,0.000244140625
within_condition_direction,cosmos_canonical_static32:right,6102,6109,0.0,0.000244140625,0.000244140625
within_condition_direction,cosmos_canonical_static32:right,6103,6104,0.0001220703125,0.00044013077093066273,0.00044013077093066273
within_condition_direction,cosmos_canonical_static32:right,6103,6105,0.0001220703125,0.00034526698300124393,0.00034526698300124393
within_condition_direction,cosmos_canonical_static32:right,6103,6106,0.0001220703125,0.0003662109375,0.0003662109375
within_condition_direction,cosmos_canonical_static32:right,6103,6107,0.0001220703125,0.0003662109375,0.0003662109375
within_condition_direction,cosmos_canonical_static32:right,6103,6108,0.0001220703125,0.0003662109375,0.0003662109375
within_condition_direction,cosmos_canonical_static32:right,6103,6109,0.0001220703125,0.0002729575167846423,0.0002729575167846423
within_condition_direction,cosmos_canonical_static32:right,6104,6105,0.0,0.0001220703125,0.0001220703125
