cell_id,phase,layout_pair_id,model_config,layout_arm,command,replicate_id,candidate_effective_policy_seed,action_cap,stop_on_success,selected,status,pose_manifest,forecast_mapping
wmf1__confirmation__C05__D2__original__left,confirmation,C05,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C05__D2__original__right,confirmation,C05,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C05__D2__reflected__left,confirmation,C05,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C05__D2__reflected__right,confirmation,C05,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C06__D2__original__left,confirmation,C06,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C06__D2__original__right,confirmation,C06,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C06__D2__reflected__left,confirmation,C06,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C06__D2__reflected__right,confirmation,C06,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C07__D2__original__left,confirmation,C07,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C07__D2__original__right,confirmation,C07,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C07__D2__reflected__left,confirmation,C07,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C07__D2__reflected__right,confirmation,C07,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C08__D2__original__left,confirmation,C08,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C08__D2__original__right,confirmation,C08,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C08__D2__reflected__left,confirmation,C08,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C08__D2__reflected__right,confirmation,C08,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C09__D2__original__left,confirmation,C09,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C09__D2__original__right,confirmation,C09,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C09__D2__reflected__left,confirmation,C09,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C09__D2__reflected__right,confirmation,C09,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C10__D2__original__left,confirmation,C10,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C10__D2__original__right,confirmation,C10,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C10__D2__reflected__left,confirmation,C10,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C10__D2__reflected__right,confirmation,C10,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C11__D2__original__left,confirmation,C11,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C11__D2__original__right,confirmation,C11,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C11__D2__reflected__left,confirmation,C11,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C11__D2__reflected__right,confirmation,C11,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C12__D2__original__left,confirmation,C12,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C12__D2__original__right,confirmation,C12,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C12__D2__reflected__left,confirmation,C12,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
