frame_order,dataset_index,frame_index,episode_index,episode_progress,true_task,n_prompts,first_action_cmi_bits,first_action_null_centered_score_bits,first_action_null_p95_bits,first_action_permutation_p_value,first_action_language_dependence_detected,first_action_gripper_mi_bits,first_action_gripper_permutation_p_value,mean_horizon_cmi_bits,mean_horizon_null_centered_score_bits,significant_horizon_fraction
0,0,0,0,0.0,pick up the black bowl next to the cookie box and place it on the plate,10,2.491817322846288,4.202384032631077,-1.0133152615930265,0.004975124378109453,True,-0.0,1.0,2.7871514701470543,4.546004476535943,1.0
1,16,16,0,0.14678899082568808,pick up the black bowl next to the cookie box and place it on the plate,10,2.8019989174233224,4.679112767327243,-1.2632410073650273,0.004975124378109453,True,-0.0,1.0,2.8671473251757327,4.916098422070491,1.0
2,31,31,0,0.28440366972477066,pick up the black bowl next to the cookie box and place it on the plate,10,2.968887294466602,4.688839119906345,-1.1523203782349023,0.004975124378109453,True,-0.0,1.0,2.9361842324074336,5.023212912531505,1.0
3,47,47,0,0.43119266055045874,pick up the black bowl next to the cookie box and place it on the plate,10,2.532476864884828,4.610797345553677,-1.2605135120121378,0.004975124378109453,True,-0.0,1.0,2.5374164602630698,4.4934870961575335,1.0
4,62,62,0,0.5688073394495413,pick up the black bowl next to the cookie box and place it on the plate,10,2.9122055450155506,4.781868988808291,-1.173099607160733,0.004975124378109453,True,-0.0,1.0,2.7260820444976908,4.553572231850056,1.0
5,78,78,0,0.7155963302752294,pick up the black bowl next to the cookie box and place it on the plate,10,2.8724809124760804,4.658575134739433,-1.2836653477051347,0.004975124378109453,True,-0.0,1.0,2.7895677628059907,4.55196583259049,1.0
6,93,93,0,0.8532110091743119,pick up the black bowl next to the cookie box and place it on the plate,10,2.9976189436090266,4.633842487442003,-1.0150170276369277,0.004975124378109453,True,-0.0,1.0,2.9390555051715292,4.893267239998957,1.0
7,109,109,0,1.0,pick up the black bowl next to the cookie box and place it on the plate,10,2.556724165734907,4.4865776433675055,-1.3744450044514442,0.004975124378109453,True,0.6604799403730945,0.004975124378109453,2.7546674981251473,4.733121887880683,1.0
