frame_order,dataset_index,frame_index,episode_index,episode_progress,horizon_step,cmi_bits,null_centered_score_bits,pooled_entropy_bits,conditional_entropy_bits,null_mean_bits,null_median_bits,null_p95_bits,permutation_p_value,bootstrap_low_bits,bootstrap_high_bits,n_prompts,samples_per_prompt,action_dim,language_dependence_detected,gripper_mi_bits,gripper_null_p95_bits,gripper_permutation_p_value
0,0,0,0,0.0,0,2.491817322846288,4.202384032631077,10.369279114936385,7.8774617920901004,-1.7172546094563077,-1.7105667097847888,-1.0133152615930265,0.004975124378109453,2.497228898490672,2.744623129291229,10,8,6,True,-0.0,0.0,1.0
0,0,0,0,0.0,1,2.4467987567749003,4.11233728515844,10.110645778031273,7.663847021256374,-1.666997084460979,-1.6655385283835396,-1.1540518417356178,0.004975124378109453,2.4316686192768975,2.6941919861990713,10,8,6,True,-0.0,0.0,1.0
0,0,0,0,0.0,2,2.6402475161709416,4.388583677061785,9.880898081797948,7.240650565627006,-1.7296293946976806,-1.7483361608908434,-1.078292476507568,0.004975124378109453,2.600648434278539,2.8044928188430425,10,8,6,True,-0.0,0.0,1.0
0,0,0,0,0.0,3,2.773975760045906,4.581559962267899,9.893446595454108,7.1194708354082,-1.8007004549195162,-1.807584202221993,-1.165987115037986,0.004975124378109453,2.7324185449219986,2.90274370255429,10,8,6,True,-0.0,0.0,1.0
0,0,0,0,0.0,4,2.885635440874447,4.7329143856203855,9.703466317177886,6.817830876303441,-1.8128048086795787,-1.8472789447459388,-1.1658771826466592,0.004975124378109453,2.8557091978215587,2.9744280795999436,10,8,6,True,-0.0,0.0,1.0
0,0,0,0,0.0,5,2.9889126594824647,4.7890186873950125,9.663574235872973,6.674661576390509,-1.8183832536009146,-1.8001060279125474,-1.2586028385619195,0.004975124378109453,2.9466779048774634,3.0589669081835664,10,8,6,True,-0.0,0.0,1.0
0,0,0,0,0.0,6,3.006118772261854,4.751469276736315,9.619627182787859,6.613508410526003,-1.740771263785233,-1.7453505044744606,-1.1950148089344708,0.004975124378109453,2.970102446542525,3.063162893993181,10,8,6,True,-0.0,0.0,1.0
0,0,0,0,0.0,7,3.0637055327196325,4.809768505416627,9.695399838030259,6.631694305310626,-1.7507404432508569,-1.746062972696994,-1.1526634478247713,0.004975124378109453,3.044867032008699,3.098261682282387,10,8,6,True,-0.0,0.0,1.0
1,16,16,0,0.14678899082568808,0,2.8019989174233224,4.679112767327243,9.832319749374141,7.030320831950818,-1.9127003494263244,-1.8771138499039197,-1.2632410073650273,0.004975124378109453,2.78104206942478,2.9021514798843002,10,8,6,True,-0.0,0.0,1.0
1,16,16,0,0.14678899082568808,1,2.8463365658183215,4.773291086393924,9.766930130658634,6.920593564840313,-1.9227280333083256,-1.926954520575603,-1.2372599541180254,0.004975124378109453,2.8312722169783306,2.9267203876130803,10,8,6,True,-0.0,0.0,1.0
1,16,16,0,0.14678899082568808,2,2.917537278902485,4.790495145732001,9.82970498490231,6.912167705999826,-1.9119666077897863,-1.8729578668295155,-1.3604849743288674,0.004975124378109453,2.8955567984192245,2.998627768718433,10,8,6,True,-0.0,0.0,1.0
1,16,16,0,0.14678899082568808,3,2.8937181724312095,4.677059268547939,10.159841452036241,7.266123279605033,-1.7657684512058434,-1.78334109611673,-1.147997583962066,0.004975124378109453,2.876183651840717,2.980224051295681,10,8,6,True,-0.0,0.0,1.0
1,16,16,0,0.14678899082568808,4,2.900648434868601,4.829978000733298,9.987549817342025,7.086901382473423,-1.9336869296657084,-1.9293295658646976,-1.3347133842490413,0.004975124378109453,2.8840725817143924,2.969896146369737,10,8,6,True,-0.0,0.0,1.0
1,16,16,0,0.14678899082568808,5,2.812715330941556,4.993813876554754,9.711399963123302,6.898684632181748,-2.160360517366465,-2.1810985456131986,-1.404542366312458,0.004975124378109453,2.7944591006992163,2.8823303224633623,10,8,6,True,-0.0,0.0,1.0
1,16,16,0,0.14678899082568808,6,2.8471318989016807,5.260151072305136,9.552585294149756,6.705453395248076,-2.39034636592438,-2.4130191734034545,-1.6061523442819303,0.004975124378109453,2.8154172852450188,2.91684668642172,10,8,6,True,-0.0,0.0,1.0
1,16,16,0,0.14678899082568808,7,2.917092002118687,5.324886158969637,9.587557480256523,6.670465478137837,-2.404820106877135,-2.40779415685095,-1.6901748206658975,0.004975124378109453,2.894753533963353,2.964925656068684,10,8,6,True,-0.0,0.0,1.0
2,31,31,0,0.28440366972477066,0,2.968887294466602,4.688839119906345,9.797107256971094,6.828219962504493,-1.6837791218061644,-1.719951825439743,-1.1523203782349023,0.004975124378109453,2.9409185012282584,3.0420269999021534,10,8,6,True,-0.0,0.0,1.0
2,31,31,0,0.28440366972477066,1,2.9647624978450944,4.874809801253346,9.766274453242456,6.8015119553973635,-1.884933557521142,-1.9100473034082521,-1.2755089706666642,0.004975124378109453,2.929588075949183,3.0276175240438135,10,8,6,True,-0.0,0.0,1.0
2,31,31,0,0.28440366972477066,2,2.976711612329491,4.883145271697523,10.289701444604903,7.312989832275414,-1.889072631547063,-1.9064336593680327,-1.2349449772093544,0.004975124378109453,2.9479396880613242,3.111815002983036,10,8,6,True,-0.0,0.0,1.0
2,31,31,0,0.28440366972477066,3,2.969030590662733,4.962047553008474,10.425709361149925,7.456678770487191,-1.9735034161108753,-1.993016962345741,-1.3723257999924159,0.004975124378109453,2.945940405360654,3.10008021940173,10,8,6,True,-0.0,0.0,1.0
