condition,label,requested_successes,episodes,direction_reached,favorable_shifts,paired_episodes,median_final_dx_m,median_actions
static_native,Static native task,6,6,6,0,0,-0.019723810255527496,76
static_counterfactual,Static counterfactual task,2,6,5,0,0,-0.05008574016392231,400
switch_task_counterfactual,Switch: full task,3,6,3,4,6,-0.07994106784462929,229
switch_subtask_counterfactual,Switch: subtask,2,6,3,3,6,-0.1589394249022007,400
switch_atomic_counterfactual,Switch: atomic motion,0,6,1,3,6,-0.2435097750276327,400
switch_combined_counterfactual,Switch: combined + release,1,6,4,5,6,-0.10624585673213005,400
switch_native_control,Switch: native-direction control,6,6,6,0,0,-0.02248348295688629,53
