scenario,green_yellow_distance_mean_m,green_yellow_distance_stdev_m,seed_count,initial_geometry_identical,protocol_difference
original_sham,0.1414,0.0,256,initial_cube_geometry_is_identical_across_scenarios,identity or motion profile
destination_static,0.1414,0.0,256,initial_cube_geometry_is_identical_across_scenarios,reference placement profile only
move_stop,0.1414,0.0,256,initial_cube_geometry_is_identical_across_scenarios,identity or motion profile
