cohort,scenario,episodes,grasp_achieved,no_grasp,transport_incomplete,grasp_rate,estimability_note
confirmatory,original_sham,256,8,248,8,0.031,confirmatory_partial
confirmatory,destination_static,256,15,241,15,0.059,confirmatory_partial
confirmatory,move_stop,256,8,248,8,0.031,confirmatory_partial
