family,platform,fixture,cohort,scenario,episodes,grasp_achieved,grasp_rate,pilot_grasp_rate,scenario_rank_within_platform,platform_ordering,registered_estimand,estimability_note,holm_scope
C6,isaac_droid,containment,confirmatory_partial,destination_static,19,3,0.158,,2,original_sham > destination_static > move_stop (inverted vs C8 at n=56),platform_x_scenario_grasp_interaction,insufficient_coverage_not_estimable,registered_scenario_contrast_family_with_platform_stratum
C6,isaac_droid,containment,confirmatory_partial,move_stop,21,2,0.095,,3,original_sham > destination_static > move_stop (inverted vs C8 at n=56),platform_x_scenario_grasp_interaction,insufficient_coverage_not_estimable,registered_scenario_contrast_family_with_platform_stratum
C6,isaac_droid,containment,confirmatory_partial,original_sham,16,3,0.188,,1,original_sham > destination_static > move_stop (inverted vs C8 at n=56),platform_x_scenario_grasp_interaction,insufficient_coverage_not_estimable,registered_scenario_contrast_family_with_platform_stratum
C8,widowx_simplerenv,second_stack,confirmatory_partial,destination_static,63,4,0.063,0.75,1,destination_static ranks first at milestones 84/101/161/204; move_stop ≈ original_sham — pilot 3-way ordering not reproduced,platform_x_scenario_grasp_interaction,insufficient_coverage_not_estimable,registered_scenario_contrast_family_with_platform_stratum
C8,widowx_simplerenv,second_stack,confirmatory_partial,move_stop,72,2,0.028,0.5,3,destination_static ranks first at milestones 84/101/161/204; move_stop ≈ original_sham — pilot 3-way ordering not reproduced,platform_x_scenario_grasp_interaction,insufficient_coverage_not_estimable,registered_scenario_contrast_family_with_platform_stratum
C8,widowx_simplerenv,second_stack,confirmatory_partial,original_sham,69,2,0.029,0.25,2,destination_static ranks first at milestones 84/101/161/204; move_stop ≈ original_sham — pilot 3-way ordering not reproduced,platform_x_scenario_grasp_interaction,insufficient_coverage_not_estimable,registered_scenario_contrast_family_with_platform_stratum
