cohort,scenario,episodes,grasp_achieved,no_grasp,transport_incomplete,grasp_rate,estimability_note
pilot,original_sham,8,2,6,2,0.25,pilot_hypothesis_only
pilot,destination_static,8,6,2,6,0.75,pilot_hypothesis_only
pilot,move_stop,8,4,4,4,0.5,pilot_hypothesis_only
