cohort,scenario,episodes,grasp_achieved_c6_rule,grasp_rate_c6_rule,grasp_achieved_transport_incomplete_only,grasp_rate_transport_incomplete_only,wrong_goal_region_count,ordering_claim_limit,estimability_note
confirmatory,destination_static,116,27,0.233,25,0.216,2,destination_static_ranks_first_only — no stable three-way ordering claimed,insufficient_coverage_not_estimable
confirmatory,move_stop,108,21,0.194,19,0.176,2,destination_static_ranks_first_only — no stable three-way ordering claimed,insufficient_coverage_not_estimable
confirmatory,original_sham,113,22,0.195,20,0.177,2,destination_static_ranks_first_only — no stable three-way ordering claimed,insufficient_coverage_not_estimable
