scenario,failure_label,count
destination_static,no_grasp,6
destination_static,wrong_goal_region,2
move_stop,no_grasp,6
move_stop,transport_incomplete,1
move_stop,wrong_goal_region,1
original_sham,no_grasp,6
original_sham,transport_incomplete,2
