compile_id,rows,status,superseded_by,outcome_no_grasp,outcome_transport_incomplete,outcome_wrong_goal_region,outcome_support_or_containment_failed
compiled_ledger_20260908k,548,superseded_by_final,compiled_ledger_20260908_FINAL,544,4,,
.compiled-ledger-final,551,stale_do_not_cite,compiled_ledger_20260908_FINAL,547,4,,
compiled_ledger_20260908l,565,superseded_by_final,compiled_ledger_20260908_FINAL,560,4,1,
compiled_ledger_20260908m,580,latest_partial_not_final,compiled_ledger_20260908_FINAL,574,3,2,1
compiled_ledger_20260908_FINAL,768,authoritative_final,,761,3,2,2
