family,fixture,evidence_phase,export_status,coverage_label,accepted_valid_unique,planned_episodes,confirmatory_dispatched,confirmatory_accepted,ledger_compile_id
C7,object_pair,confirmatory_final,complete,768/768 (100.0%),768,768,,,compiled_ledger_20260908_FINAL
C6,containment,g7_pilot_complete,complete,24/24 (100.0%),24,24,384,384,g7-containment-20260908a
C6,containment,confirmatory_final,complete,384/384 (100.0%),384,384,384,384,compiled_ledger_20260908_FINAL
C8,second_stack,g7_pilot_complete,complete,24/24 (100.0%),24,24,768,768,20260908b
C8,second_stack,confirmatory_final,complete,768/768 (100.0%),768,768,768,768,20260908h
