family,fixture,platform,evidence_phase,coverage_label,episode_count,success,no_grasp,transport_incomplete,wrong_goal_region,wrong_placement
C7,object_pair,isaac_droid,confirmatory_partial,548/768 (71.4%),548,0,544,4,0,0
C6,containment,isaac_droid,g7_pilot_complete,24/24 (100.0%),24,0,18,3,3,0
C8,second_stack,widowx_simplerenv,g7_pilot_complete,24/24 (100.0%),24,0,12,12,0,0
