scale,binding_constraint,detail
2.0,information_and_physical,legal_goal_empty on 10/24 paths; unmodeled_collision and reference_not_supported on 10/24; information gate fails globally
1.5,physical,legal_goal_empty on 5/24; unmodeled_collision and support/drift/pose failures on 10/24
1.0,physical,legal_goal_empty on 5/24; unmodeled_collision on all 10 failed paths
0.75,physical,legal_goal_empty on 5/24; unmodeled_collision on 10/24
0.5,information_gate,all path checks pass; 64/128 seeds fail right/behind information gate for physical_translation_sign=-1
