family,policy_id,goal,wording_motion_interaction_success_pp,n_complete_blocks,status,equivalence_claim
C1,cosmos3_nano_droid,left,,0,incomplete,not_authorized
C1,cosmos3_nano_droid,right,,0,incomplete,not_authorized
C1,cosmos3_nano_droid,front,,0,incomplete,not_authorized
C1,cosmos3_nano_droid,behind,,0,incomplete,not_authorized
C1,pi05_droid,left,,0,incomplete,not_authorized
C1,pi05_droid,right,,0,incomplete,not_authorized
C1,pi05_droid,front,,0,incomplete,not_authorized
C1,pi05_droid,behind,,0,incomplete,not_authorized
